{'epoch': 265, 'train_loss': 0.70789653, 'valid_loss': 3.1629968, 'lr': [0.0064]}
{'epoch': 266, 'train_loss': 0.71810126, 'valid_loss': 3.151937, 'lr': [0.0064]}
{'epoch': 267, 'train_loss': 0.71018827, 'valid_loss': 3.11964, 'lr': [0.0064]}
{'epoch': 268, 'train_loss': 0.6948214, 'valid_loss': 3.1074073, 'lr': [0.0064]}
{'epoch': 269, 'train_loss': 0.6788007, 'valid_loss': 3.0720153, 'lr': [0.0064]}
{'epoch': 270, 'train_loss': 0.7065538, 'valid_loss': 3.052923, 'lr': [0.0064]}
{'epoch': 271, 'train_loss': 0.7043948, 'valid_loss': 3.0597854, 'lr': [0.0064]}
{'epoch': 272, 'train_loss': 0.7066901, 'valid_loss': 3.0739284, 'lr': [0.0064]}
{'epoch': 273, 'train_loss': 0.70577705, 'valid_loss': 3.0675719, 'lr': [0.0064]}
{'epoch': 274, 'train_loss': 0.7009444, 'valid_loss': 3.048868, 'lr': [0.0064]}
{'epoch': 275, 'train_loss': 0.69909406, 'valid_loss': 3.0486286, 'lr': [0.0064]}
{'epoch': 276, 'train_loss': 0.705264, 'valid_loss': 3.0333014, 'lr': [0.0064]}
{'epoch': 277, 'train_loss': 0.70193136, 'valid_loss': 3.025, 'lr': [0.0064]}
{'epoch': 278, 'train_loss': 0.69786227, 'valid_loss': 3.0233874, 'lr': [0.0064]}
{'epoch': 279, 'train_loss': 0.6922228, 'valid_loss': 3.018584, 'lr': [0.0064]}
{'epoch': 280, 'train_loss': 0.69090074, 'valid_loss': 3.016168, 'lr': [0.0064]}
{'epoch': 281, 'train_loss': 0.6620843, 'valid_loss': 3.014122, 'lr': [0.0064]}
{'epoch': 282, 'train_loss': 0.6603533, 'valid_loss': 3.0120075, 'lr': [0.0064]}
